Unnamed: 0.1;Unnamed: 0;Tipo;Bairro;Quartos;Vagas;Suites;Area;Valor;Condominio;IPTU;Valor m2;Tipo agregado
89;93;Apartamento;Botafogo;2;1;1;83;2800.0;560.0;138.0;33.73;Apartamento
90;94;Apartamento;Botafogo;2;1;1;80;4300.0;1178.0;187.0;53.75;Apartamento
92;96;Apartamento;Leblon;3;2;1;147;7500.0;1028.0;247.0;51.02;Apartamento
93;97;Apartamento;Copacabana;2;1;0;67;3500.0;950.0;160.0;52.24;Apartamento
95;99;Apartamento;Barra da Tijuca;4;3;2;220;7500.0;3911.0;716.0;34.09;Apartamento
96;100;Apartamento;Catete;2;0;0;77;2400.0;1130.0;140.0;31.17;Apartamento
97;101;Apartamento;Jardim Carioca;2;1;0;55;1350.0;430.0;47.0;24.55;Apartamento
99;103;Apartamento;Leblon;3;1;0;85;3900.0;800.0;1211.0;45.88;Apartamento
100;104;Apartamento;Catete;2;0;0;75;3350.0;455.0;0.0;44.67;Apartamento
101;105;Apartamento;Recreio dos Bandeirantes;3;2;1;90;1200.0;880.0;144.0;13.33;Apartamento
104;108;Apartamento;Praça Seca;2;0;0;80;900.0;350.0;0.0;11.25;Apartamento
105;109;Apartamento;Vila Isabel;1;0;0;37;1000.0;285.0;24.0;27.03;Apartamento
106;110;Apartamento;Copacabana;3;0;0;150;5500.0;1780.0;420.0;36.67;Apartamento
107;111;Apartamento;Lagoa;3;1;1;127;5000.0;1540.0;370.0;39.37;Apartamento
108;112;Apartamento;Freguesia (Jacarepaguá);2;1;1;74;1700.0;652.0;104.0;22.97;Apartamento
109;113;Apartamento;Barra da Tijuca;3;2;1;128;3000.0;1384.0;324.0;23.44;Apartamento
110;114;Apartamento;Gávea;3;1;1;160;8000.0;2000.0;0.0;50.0;Apartamento
111;115;Apartamento;Copacabana;3;1;1;200;6200.0;1800.0;420.0;31.0;Apartamento
112;116;Apartamento;Barra da Tijuca;2;1;0;58;1500.0;666.0;106.0;25.86;Apartamento
113;117;Apartamento;Botafogo;3;1;1;100;5500.0;1300.0;220.0;55.0;Apartamento
114;118;Apartamento;Barra da Tijuca;4;2;3;320;5500.0;2700.0;800.0;17.19;Apartamento
